name,init_stack,init_heap
Alma_Linux_8_aarch64,unknown,none
Alma_Linux_8_ppc64le,unknown,none
Alma_Linux_8_s390x,unknown,none
Alma_Linux_8_x86_64,unknown,none
Alma_Linux_9_aarch64,none,none
Alma_Linux_9_ppc64le,none,none
Alma_Linux_9_s390x,none,none
Alma_Linux_9_x86_64,none,none
Android_12_(5.10)_aarch64,zero,zero
Android_13_(5.10)_aarch64,zero,zero
Android_13_(5.15)_aarch64,zero,zero
Android_14_(5.15)_aarch64,zero,zero
Android_14_(6.1)_aarch64,zero,zero
Android_15_(6.6)_aarch64,zero,zero
Arch_hardened_x86_64,zero,zero
Arch_x86_64,zero,zero
Azure_Linux_x86_64,none,zero
CentOS_10_Stream_aarch64,zero,none
CentOS_10_Stream_ppc64le,zero,none
CentOS_10_Stream_s390x,zero,none
CentOS_10_Stream_x86_64,zero,none
CentOS_9_Stream_aarch64,none,none
CentOS_9_Stream_ppc64le,none,none
CentOS_9_Stream_s390x,none,none
CentOS_9_Stream_x86_64,none,none
CentOS_Hyperscale_10_aarch64,zero,none
CentOS_Hyperscale_10_x86_64,zero,none
CentOS_Hyperscale_9_aarch64,none,none
CentOS_Hyperscale_9_x86_64,none,none
Debian_10_Buster_aarch64,unknown,unknown
Debian_10_Buster_x86_64,unknown,unknown
Debian_11_Bullseye_aarch64,none,zero
Debian_11_Bullseye_x86_64,none,zero
Debian_12_Bookworm_aarch64,zero,zero
Debian_12_Bookworm_x86_64,zero,zero
Debian_13_Trixie_aarch64,zero,zero
Debian_13_Trixie_x86_64,zero,zero
Fedora_40_Core_aarch64,zero,none
Fedora_40_Core_x86_64,zero,none
Fedora_40_Updates_aarch64,zero,zero
Fedora_40_Updates_x86_64,zero,zero
Fedora_41_Core_aarch64,zero,zero
Fedora_41_Core_x86_64,zero,zero
Fedora_41_Updates_aarch64,zero,zero
Fedora_41_Updates_x86_64,zero,zero
Fedora_42_Core_aarch64,zero,zero
Fedora_42_Core_x86_64,zero,zero
Fedora_42_Updates_aarch64,zero,zero
Fedora_42_Updates_x86_64,zero,zero
Fedora_Asahi_Remix_40_aarch64,zero,zero
Fedora_Asahi_Remix_41_aarch64,zero,zero
Fedora_Asahi_Remix_Rawhide_aarch64,zero,zero
OpenSUSE_aarch64,none,none
OpenSUSE_riscv64,none,none
OpenSUSE_x86_64,none,none
Oracle_Linux_10_(Red_Hat_Compatible)_x86_64,zero,none
Oracle_Linux_10_(UEK-NEXT)_aarch64,zero,none
Oracle_Linux_10_(UEK-NEXT)_x86_64,zero,none
Oracle_Linux_7_(Red_Hat_Compatible)_x86_64,unknown,unknown
Oracle_Linux_7_(UEK_4)_x86_64,unknown,unknown
Oracle_Linux_7_(UEK_5)_aarch64,unknown,unknown
Oracle_Linux_7_(UEK_5)_x86_64,unknown,unknown
Oracle_Linux_7_(UEK_6)_aarch64,none,none
Oracle_Linux_7_(UEK_6)_x86_64,none,none
Oracle_Linux_8_(Red_Hat_Compatible)_x86_64,unknown,none
Oracle_Linux_8_(UEK_6)_aarch64,none,none
Oracle_Linux_8_(UEK_6)_x86_64,none,none
Oracle_Linux_8_(UEK_7)_aarch64,zero,none
Oracle_Linux_8_(UEK_7)_x86_64,zero,none
Oracle_Linux_9_(Red_Hat_Compatible)_x86_64,none,none
Oracle_Linux_9_(UEK-NEXT)_aarch64,zero,none
Oracle_Linux_9_(UEK-NEXT)_x86_64,zero,none
Oracle_Linux_9_(UEK_7)_aarch64,zero,none
Oracle_Linux_9_(UEK_7)_x86_64,zero,none
Oracle_Linux_9_(UEK_8)_aarch64,zero,none
Oracle_Linux_9_(UEK_8)_x86_64,zero,none
Oracle_Linux_9_(UEK_8_-_64k_Page)_aarch64,zero,none
SLE-15-SP7_aarch64,none,none
SLE-15-SP7_x86_64,none,none
Ubuntu_20.04_LTS_Focal_aarch64,none,zero
Ubuntu_20.04_LTS_Focal_x86_64,none,zero
Ubuntu_22.04_LTS_Jammy_aarch64,none,zero
Ubuntu_22.04_LTS_Jammy_x86_64,none,zero
Ubuntu_24.04_LTS_Noble_aarch64,zero,zero
Ubuntu_24.04_LTS_Noble_riscv64,zero,zero
